name,surname
Bobby,Riggs
X,X
Martina,Hingis
Mirjana,Lucic
Justine,Henin
Kerry Anne,Guse
Jolene,Watanabe
Karina,Habsudova
Silvija,Talaja
Alicia,Molik
Tamarine,Tanasugarn
Rita,Grande
Katarina,Srebotnik
Jana,Nejedly
Angelica,Gavaldon
Tzipi,Obziler
Petra,Mandula
Sandrine,Testud
Arantxa,Sanchez Vicario
Julia,Abe
Alexandra,Fusai
Lisa,Raymond
Alexia,Dechaume Balleret
Emmanuelle,Gagliardi
Bryanne,Stewart
Maria,Vento Kabchi
Ludmila,Cervanova
Florencia,Labat
Magui,Serna
Maureen,Drake
Lisa,Mcshea
Miroslava,Vavrinec
Meilen,Tu
Barbara,Schett
Serena,Williams
Amanda,Grahame
Maria,Sanchez Lorenzo
Nicole,Pratt
Sabine,Appelmans
Annabel,Ellwood
Chanda,Rubin
Anna,Smashnova
Amy,Frazier
Els,Callens
Virginie,Razzano
Denisa,Chladkova
Tara,Snyder
Meghann,Shaughnessy
Pavlina,Nola
Elena,Likhovtseva
Conchita,Martinez
Sandra,Kleinova
Irina,Spirlea
Olga,Barabanschikova
Lubomira,Bacheva
Sylvia,Plischke
Mariana,Diaz Oliva
Jelena,Kostanic Tosic
Erika,De Lone
Anna,Foldenyi Dicker
Ruxandra,Dragomir Ilie
Tathiana,Garbin
Gala,Leon Garcia
Kristina,Brandi
Tatiana,Panova
Amanda,Coetzer
Amelie,Mauresmo
Cristina,Torrens Valero
Patty,Schnyder
Lilia,Osterloh
Nadia,Petrova
Anne Gaelle,Sidot
Lenka,Nemeckova
Cara,Black
Julie,Pullin
Jane,Chi
Jing Qian,Yi
Laurence,Courtois
Jennifer,Capriati
Barbara,Schwartz
Kim,Clijsters
Dominique,Monami
Anke,Huber
Kristie,Boogert
Alexandra,Stevenson
Asa,Carlsson
Ai,Sugiyama
Magdalena,Maleeva
Seda,Noorlander
Adriana,Gersi
Miriam,Oremans
Anca,Barna
Janet,Lee
Sandra,Nacuk
Amelie,Cocheteux
Barbara,Rittner
Linda,Wild
Mary,Pierce
Nathalie,Tauziat
Henrieta,Nagyova
Sonya,Jeyaseelan
Amanda,Hopmans
Jana,Kandarr
Melissa,Dowse
Evie,Dominikovic
Emilie,Loit
Rachel,Mcquillan
Angeles,Montolio
Paola,Suarez
Elena,Dementieva
Nathalie,Dechy
Fabiola,Zuluaga
Lina,Krasnoroutskaya
Julie,Halard Decugis
Anna,Kournikova
Patricia,Wartusch
Brie,Rippner
Natalia,Zvereva
Kveta,Peschke
Virginia,Ruano Pascual
Rita,Kuti Kis
Jelena,Dokic
Alina,Jidkova
Tina,Pisnik
Marlene,Weingartner
Anne,Kremer
Corina,Morariu
Marissa,Irvin
Sarah,Pitkowski Malcor
Lindsay,Davenport
Lesley,Turner
Dorothy,Whitely
Judith,Dibar
Kay,Williams
Eva,Duldig
Kerry,Ballard
Lorraine,Coghlan
Valerie,Caulley
L,Griffiths
Sandra,Hole
Lita,Liem
Beryl,Jenkins
Wendy,Gilchrist
Loris,Butterfield
Kathleen,Harter
Margaret,Court
Kerry,Harris
Cynthia,Doerner
Geri,Shepard
Marilyn,Tesch
Helen,Sheedy
Evonne,Goolagong
Ada,Bakker
Gail,Sherriff
Sheila,Washbourne
Sandra,Stephen
Lexie,Kenny
Lynette,Mansfield
Lynne,Nette
Carol,Sherriff
Rosie,Casals
Judy,Tegart
Janine,Whyte
Judith,Salome
Helen,Oconnor
Joan,Johnson
Lany,Kaligis
Patricia,Edwards
Heather,Mckechnie
Karen,Krantzcke
Ann,Jenkins
Beverley,Rae
Janet,Young
Caroline,Cooper
Kaye,Dening
Kerry,Wilkinson
Mary Ann,Eisel
Kerry,Reid
Alison,Mckenzie
Sue,Hastings
Barbara,Hawcroft
Astrid,Suurbeck
Margaret,Starr
E,Staples
Elena,Subirats
Helen,Gourlay
Lesley,Hunt
Yveline,Boy
Janine,Murdoch
Helen,Amos
Denise,Brennan
Billie Jean,King
Frances,Luff
Helen,Kayser
Ann,Jones
Francoise,Durr
Helen,Rush
Kerryl,Chute
Pamela,Brand
Caroline,Langsford
Sally,Irvine
Norma,Marsh
Sharon,Thomson
Theresa,Van Haren
Vicki,Lancaster Kerr
Sandra,Walsham
Judy,Harris
L,Cameron
Cheryl,Norquay
Mandy,Morgan
Wendy,Turnbull
Norma,Eastburn
Winnie,Shaw
Elizabeth,Allan
Jan,Lehane
Christina,Sandberg
Susan,Alexander
Janet,Fallis
Adrienne,Avis
Helen,Taylor
Patricia,Coleman
Patti,Hogan
Dianne,Fromholtz
Anne,Coleman
Sharon,Walsh Pete
Kati,Athorne
Helen,Worland
Mona,Guerrant
Diane,James
Olga,Morozova
Robyn,Knobel
Patricia,Billing
Brenda,Dart
Ann,Lebedeff
Chris,Matison
Pam,Whytcross
Maureen,Mccalman
Patricia,King
Virginia,Wade
Nathalie,Fuchs
Kathy,Walker
Eugenia,Birioukova
Duk Hee,Lee
Helen,Young
Glynis,Coles
Moira,Whitely
Soon Oh,Lee
Leslie,Walker
Dorte,Ekner
Marion,Proisy
Joan,Walker
Lindsay,Blachford
Kazuko,Sawamatsu
Monique,Van Haver
Kiyoko,Nomura
Michele,Gurdal
Lesley,Charles
Chris,Oneil
Helen,Crozier
Jeong Soon,Yang
Chris,Evert
Katerleen,Szeman
Toshiko,Sade
Jenny,Walker
Janet,Newberry
Helena,Anliot
Lindsey,Beaven
Sue,Barker
Isabelle,Larsson
Frances,Candy
Jill,Schwikert
Nellemieke,Brouwer
Margareta,Strandberg
Brenda,Dale
Nerida,Gregory
Julie,Heldman
Ann,Kiyomura Hayashi
J D,Griffiths
Anneloes,Schothurst
Sally,Arnott
Gail,Williams
Joy,Schwikert
Jackie,Fayter
Jenny,Dimond
Pam,Teeguarden
Nora,Blom
Mimi,Wikstedt
Peggy,Michel
Miki,Yokobori
Sue,Mappin
Chris,Cerato
Deborah,Fiuza
Dianne,Evers
Vivicca,Andersson
Martina,Navratilova
Gwen,Stirton
Ai,Iida
Belinda,Thompson
Natasha,Chmyreva
Laura,Du Pont
Kaye,Hallam
Sally,Greer
Lois,Raymond
Linda,Mottram
Julie,Staines
Cheree,Walker
Carol,Draper
Jan,Wilton
Kerry,Neill
Kym,Ruddell
Merrilyn,Robinson
Julie,Hanrahan
Cecilia,Martinez
Frederique,Thibault
Lotta,Stenberg
Brigitte,Simon Glinel
Nina,Bohm
Heidi,Eisterlehner
Helga,Masthoff
Michelle,Tyler
Cathy,Griffiths
Renata,Tomanova
Elisabeth,Ekblom
Karen,Gulley
Rene,Blount
Beth,Norton
Leanne,Harrison Austin
Naoko,Sato
Birgitte,Hermansen
Patricia,Bostrom
Mary,Sawyer
Sue,Saliba
Kim,Sands
Amanda,Tobin
Betsy,Nagelsen
Sabina,Simmonds
Judy,Chaloner
Keryn,Pratt
Virginia,Ruzici
Elizabeth,Little
Linda,Cassell
Marcella,Mesker
Jutta,Diesslin
Chris,Newton
Susan,Leo
Barbara,Jordan
Brenda,Catton
Anne,Minter
Bernadette,Randall
Hana,Mandlikova
Diane,Morrison
Felicia,Hutnick
Lindsay,Morse
Greer,Stevens
Lele,Forood
Claudia,Kohde Kilsch
Diane,Desfor
Betty,Stove
Rosalyn,Fairbank
Marcie,Louie
Christiane,Jolissaint
Pam,Shriver
Marie,Pinterova
Liz,Smylie
Hana,Strachonova
Barbara,Hallquist
Tanya,Harford
Sylvia,Hanika
Nanette,Schutte
Miranda,Yates
Candy,Reynolds
Marie Christine,Calleja
Mima,Jausovec
Bettina,Bunge
Bonnie,Gadusek
Helga,Lutten
Barbara,Potter
Katerina,Bohmova
Helena,Sukova
Anne,Smith
Paula,Smith
Nancy,Yeargin
Andrea,Jaeger
Isabelle,Villiger
Anne,Hobbs
Eva,Pfaff
Brenda,Remilton
Corinne,Vanier
Anne,White
Leslie,Allen
Kathy,Jordan
Mary Lou,Daniels
Sherry,Acker
Jo,Durie
Lea,Antonoplis
Marjorie,Blackwood
Catherine,Tanvier
Kim,Steinmetz
Tracy,Austin
Iva,Budarova
Jennifer,Mundel
Kate,Latham
Manuela,Maleeva Fragniere
Wendy,White
Andrea,Leand
Zina,Garrison
Susan,Mascarin
Claudia,Monteiro
Camille,Benjamin
Alycia,Moulton
Petra,Delhees Jauch
Yvonne,Vermaak
Jane,Preyer
Vicki,Nelson
Heather,Ludloff
Steffi,Graf
Catherine,Suire
Robin,White
Gigi,Fernandez
Amanda,Brown
Kathy,Rinaldi Stunkel
Anna Maria,Fernandez
Pascale,Paradis Mangon
Raffaella,Reggi Concato
Carling,Bassett Seguso
Etsuko,Inoue
Sophie,Amiach
Kim,Staunton
Beth,Herr
Lori,Mcneil
Elizabeth,Minter
Marcela,Skuherska
Lilian,Drescher
Laura,Bernstein
Kim,Jones
Shelley,Solomon
Barbara,Gerken
Carina,Karlsson
Annabel,Croft
Michaela,Washington
Jenny,Byrne
Shawn,Foltz
Louise,Field
Andrea,Temesvari
Sara,Gomer
Elise,Burgin
Svetlana,Cherneva
Colleen,Carney
Adriana,Villagran Reami
Sandy,Collins
Petra,Keppeler
Larisa,Savchenko
Beverly,Mould
Tine,Scheuer Larsen
Catarina,Lindqvist Ryan
Myriam,Schropp
Katerina,Maleeva
Masako,Yanagi
Andrea,Holikova
Rebecca,Bryant
Linda,Gates
Regina,Marsikova
Lisa,Spain Short
Belinda,Cordwell
Terry,Holladay
Ann,Henricksson
Lisa,Bonder Kreiss
Molly,Van Nostrand
Janine,Tremelling
Hu,Na
Nicole,Bradtke
Dee Ann,Hansel
Jamie,Golder
Helen,Kelesi
Beverly,Bowes
Louise,Allen
Lisa,Oneill
Cammy,Macgregor
Susan,Rimes
Caryn,Copeland Wilson
Emiko,Okagawa
Claudia,Porwik
Elna,Reinach
Judith,Wiesner
Kumiko,Okamoto
Ann,Devries
Manon,Bollegraf
Csilla,Cserepy
Eva,Krapl
Alison,Scott
Yukie,Koizumi
Michaela,Pazderova
Christina,Singer
Tina,Mochizuki
Marianne,Van Der Torre
