name,surname
Gardnar,Mulloy
Pancho,Segura
Frank,Sedgman
Giuseppe,Merlo
Richard Pancho,Gonzales
Grant,Golden
Abe,Segal
Kurt,Nielsen
Istvan,Gulyas
Luis,Ayala
Torben,Ulrich
Nicola,Pietrangeli
Neale,Fraser
Trevor,Fancutt
Sammy,Giammalva
Ken,Rosewall
Mal,Anderson
Barry,Mackay
Wieslaw,Gasiorek
Alejandro,Olmedo
Ashley,Cooper
Roy,Emerson
Ramanathan,Krishnan
Jan Eric,Lundquist
Barry,Phillips Moore
Andres,Gimeno
Gene,Scott
Manuel,Santana
Rod,Laver
Fred,Stolle
Dimitri,Sturdza
Patricio,Rodriguez Chi
Wilhelm,Bungert
Christian,Kuhnke
Ion,Tiriac
Rudy,Hernando
Nikola,Pilic
Jaime,Pinto Bravo
Boro,Jovanovic
Bob,Hewitt
Ned,Neely
Ryoichi,Mori
Zdenek,Slizek
Sergei,Likhachev
John,Paish
Larry,Nagler
Bob,Carmichael
Earl Butch,Buchholz
Jim,Mcmanus
Martin,Mulligan
Premjit,Lall
Keishiro,Yanagi
Colin,Stubs
Jose,Mandarino
Cliff,Drysdale
Harald,Elschenbroich
Pierre,Barthes
Roger,Taylor
Isao,Watanabe
Marty,Riessen
Tom,Edlefsen
Francois,Jauffret
William,Higgins
Juan,Gisbert
Terry,Ryan
Frank,Froehling
Frew,Mcmillan
Herb,Fitzgibbon
Dennis,Ralston
Jan,Kukal
Jean Claude,Barclay
Bailey,Brown
Mark,Cox
Arthur,Ashe
Owen,Davidson
Milan,Holecek
Daniel,Contet
Clark,Graebner
Bill,Bowrey
Szabolcz,Baranyi
Charlie,Pasarell
Roger,Dowdeswell
Nicola,Spear
Tom,Okker
Hans Jaochim,Plotz
Frantisek,Pala
John,Newcombe
Patricio,Cornejo
Patrice,Beust
Dick,Crealy
Colin,Dibley
Alex,Metreveli
William,Brown
Jim,Osborne
Tony,Bardsley
Peter,Burwash
Nicholas,Kalogeropoulos
Ove Nils,Bengtson
Thomaz,Koch
Tony,Roche
Mike,Belkin
Joaquin Loyo,Mayo
Peter,Curtis
D Richard,Russell
Allan,Stone
Graham,Stilwell
Robert,Rheinberger
Chris,Bovett
Jun,Kuki
Terry,Addison
Ray,Keldie
John,Clifton
Jan,Kodes
Ray,Ruffels
Jaime,Fillol
Sherwood,Stewart
Butch,Seewagen
Ivan,Molina
Ilie,Nastase
Robert,Maud
Raymond,Moore
Julian,Ganzabal
Patrick,Hombergen
Steve,Turner
John,Cooper
Stan,Smith
Tom,Gorman
Cliff,Richey
Jean Baptiste,Chanfreau
Vladimir,Zednik
Guillermo,Oropez
Armistead,Neely
Pat,Cramer
Roy,Barth
Onny,Parun
Humphrey,Hose
Han Jurgen,Pohmann
Dan,Bleckinger
Gerald,Battrick
Steve,Faulk
Zeljko,Franulovic
Peter,Szoke
Peter,Fishbach
Robert,Lutz
Dick,Dell
Jun,Kamiwazumi
Marcello,Lara
Ismail,El Shafei
Toshiro,Sakai
Lito,Alvarez
Karl,Coombes
David,Lloyd
Patrice,Hagelauer
Peter,Kanderal
Ramiro,Benavides
Jasjit,Singh
Stanley,Pasarell
John,Bartlett
Vladimir,Korotkov
Georges,Goven
Jurgen,Fassbender
Brian,Fairlie
Tom,Leonard
Bill,Lofgren
Steve,Siegel
Gene Stuart,Malin
Sever,Muresan
Kenneth,Mcmillan
Ian,Fletcher
Bernard,Mignot
John,Yuill
Modesto Tito,Vazquez
Andrew,Pattison
Manuel,Orantes
Zan,Guerry
Hans,Kary
Pavel,Hutka
Bob,Giltinan
Karl,Meiler
Bill,Lloyd
Larry,Turville
Mike,Estep
Jim,Ward
Lars,Elvstrom
Patrick,Proisy
Jeff,Borowiak
Luis Felipe,Tavares
John,Fort
Dale,Power
Norman,Holmes
Doug,Crawford
Kent,Crawford
Wanaro,Ngodrella
Larry,Parker
Nicolas,Kelaidis
Haroon,Rahim
Alejandro,Pierola
Alvaro,Betancur
Patrice,Dominguez
Antonio,Zugarelli
Syd,Ball
George,Amaya
Phil,Dent
Pancho,Walthall
Paul,Gerken
Kenichi,Hirai
Noel,Phillips
Dick R,Bohrnstedt
George,Taylor
Steve,Docherty
Louk,Sanders
Franklin,Robbins
Fred,Hemmes
Adriano,Panatta
Fred,Mcnair
Charles,Owens
Robert,Mckinley
Butch,Palmer
Geoff,Masters
Jiri,Hrebec
Carlos,Kirmayr
Mike,Powers
Jeff,Simpson
Peter,Campbell
Peter,Doerner
Mike,Machette
Alvin,Gardiner
Kjell,Johansson
Dick,Stockton
Welry,Fritz
Erik,Van Dillen
Eddie,Dibbs
Ricardo,Cano
Allan,Mcdonald
Antonio,Munoz
John,James
Bill,Freer
Rick,Fisher
Hans,Engert
Joao,Soares
Joel,Bailey
Mike,Collins
Steve,Krulevitz
John,Alexander
Jeff,Austin
Frank,Puncec
Rolf,Thung
Max,Hurlimann
Paolo,Bertolucci
Woody,Blocher
Grover Raz,Reid
Tim,Gullikson
Tom,Gullikson
George,Glowa
Roscoe,Tanner
Luis,Baraldi
Ross,Case
Jorge,Andrew
Peter,Feigl
Gary,Groslimond
Brian,Gottfried
Rolf,Norberg
John,Andrews
Lajos,Levai
Cliff,Letcher
John,Feaver
Rayno,Seegers
Denis,Naegelen
Joe,Garcia
Anand,Amritraj
Jean Francois,Caujolle
Sandy,Mayer
Kim,Warwick
Eric,Deblicker
Hartmut,Kirchhubel
Terry,Moor
Jacques,Thamin
Frank,Gebert
Mike,Cahill
Wojtek,Fibak
Sashi,Menon
Guillermo,Vilas
Andre,Zietsmann
Jimmy,Connors
Rod,Frawley
Harold,Solomon
Robin,Drysdale
Tenny,Svensson
Byron,Bertram
Timothy,Noonan
Ian,Harris
Alvaro,Fillol
John,Marks
Rejean,Genois
Richard,Legendre
Chris,Gunning
Corrado,Barazzutti
George,Hardie
James Chico,Hagey
Jose,Higueras
Jim,Delaney
Joaquim,Rasgado Jr
Henry,Bunis
Robert,Kreiss
Mark,Farrell
Michael,Wayman
Paul,Torre
Robert,Trogolo
Raul,Ramirez
