date_id,day,month,year,quarter
20181231,31,12,2018,Q4
20190107,07,01,2019,Q1
20190114,14,01,2019,Q1
20190204,04,02,2019,Q1
20190211,11,02,2019,Q1
20190218,18,02,2019,Q1
20190225,25,02,2019,Q1
20190304,04,03,2019,Q1
20190318,18,03,2019,Q1
20190408,08,04,2019,Q2
20190415,15,04,2019,Q2
20190422,22,04,2019,Q2
20190429,29,04,2019,Q2
20190506,06,05,2019,Q2
20190513,13,05,2019,Q2
20190520,20,05,2019,Q2
20190527,27,05,2019,Q2
20190610,10,06,2019,Q2
20190617,17,06,2019,Q2
20190624,24,06,2019,Q2
20190701,01,07,2019,Q3
20190715,15,07,2019,Q3
20190722,22,07,2019,Q3
20190729,29,07,2019,Q3
20190805,05,08,2019,Q3
20190812,12,08,2019,Q3
20190819,19,08,2019,Q3
20190826,26,08,2019,Q3
20190916,16,09,2019,Q3
20190923,23,09,2019,Q3
20190930,30,09,2019,Q3
20191007,07,10,2019,Q4
20191014,14,10,2019,Q4
20191021,21,10,2019,Q4
20191028,28,10,2019,Q4
20191111,11,11,2019,Q4
20191119,19,11,2019,Q4
20191121,21,11,2019,Q4
20191120,20,11,2019,Q4
20191118,18,11,2019,Q4
20191122,22,11,2019,Q4
20191124,24,11,2019,Q4
20191123,23,11,2019,Q4
20190913,13,09,2019,Q3
20190914,14,09,2019,Q3
20190405,05,04,2019,Q2
20190201,01,02,2019,Q1
20180101,01,01,2018,Q1
20180108,08,01,2018,Q1
20180115,15,01,2018,Q1
20180202,02,02,2018,Q1
20180203,03,02,2018,Q1
20180205,05,02,2018,Q1
20180212,12,02,2018,Q1
20180219,19,02,2018,Q1
20180226,26,02,2018,Q1
20180305,05,03,2018,Q1
20180319,19,03,2018,Q1
20180406,06,04,2018,Q2
20180407,07,04,2018,Q2
20180409,09,04,2018,Q2
20180416,16,04,2018,Q2
20180423,23,04,2018,Q2
20180430,30,04,2018,Q2
20180507,07,05,2018,Q2
20180514,14,05,2018,Q2
20180521,21,05,2018,Q2
20180528,28,05,2018,Q2
20180611,11,06,2018,Q2
20180618,18,06,2018,Q2
20180625,25,06,2018,Q2
20180702,02,07,2018,Q3
20180716,16,07,2018,Q3
20180723,23,07,2018,Q3
20180730,30,07,2018,Q3
20180806,06,08,2018,Q3
20180813,13,08,2018,Q3
20180820,20,08,2018,Q3
20180827,27,08,2018,Q3
20180914,14,09,2018,Q3
20180915,15,09,2018,Q3
20180917,17,09,2018,Q3
20180924,24,09,2018,Q3
20181001,01,10,2018,Q4
20181008,08,10,2018,Q4
20181015,15,10,2018,Q4
20181022,22,10,2018,Q4
20181029,29,10,2018,Q4
20181105,05,11,2018,Q4
20181112,12,11,2018,Q4
20181123,23,11,2018,Q4
20171113,13,11,2017,Q4
20171106,06,11,2017,Q4
20170904,04,09,2017,Q3
20171120,20,11,2017,Q4
20170522,22,05,2017,Q2
20170529,29,05,2017,Q2
20170911,11,09,2017,Q3
20171002,02,10,2017,Q4
20171009,09,10,2017,Q4
20170213,13,02,2017,Q1
20170130,30,01,2017,Q1
20170220,20,02,2017,Q1
20170206,06,02,2017,Q1
20170227,27,02,2017,Q1
20170306,06,03,2017,Q1
20170320,20,03,2017,Q1
20170327,27,03,2017,Q1
20171030,30,10,2017,Q4
20170918,18,09,2017,Q3
20170925,25,09,2017,Q3
20170807,07,08,2017,Q3
20170814,14,08,2017,Q3
20170717,17,07,2017,Q3
20170710,10,07,2017,Q3
20170626,26,06,2017,Q2
20170821,21,08,2017,Q3
20170828,28,08,2017,Q3
20170605,05,06,2017,Q2
20170612,12,06,2017,Q2
20170403,03,04,2017,Q2
20170724,24,07,2017,Q3
20171127,27,11,2017,Q4
20170619,19,06,2017,Q2
20171023,23,10,2017,Q4
20171204,04,12,2017,Q4
20170313,13,03,2017,Q1
20170424,24,04,2017,Q2
20170410,10,04,2017,Q2
20170508,08,05,2017,Q2
20170515,15,05,2017,Q2
20170703,03,07,2017,Q3
20171016,16,10,2017,Q4
20170116,16,01,2017,Q1
20170123,23,01,2017,Q1
20170417,17,04,2017,Q2
20170501,01,05,2017,Q2
20170731,31,07,2017,Q3
20170109,09,01,2017,Q1
20170102,02,01,2017,Q1
20171211,11,12,2017,Q4
20171225,25,12,2017,Q4
20171218,18,12,2017,Q4
20161114,14,11,2016,Q4
20160905,05,09,2016,Q3
20161121,21,11,2016,Q4
20160502,02,05,2016,Q2
20161017,17,10,2016,Q4
20160530,30,05,2016,Q2
20160704,04,07,2016,Q3
20160912,12,09,2016,Q3
20161024,24,10,2016,Q4
20161107,07,11,2016,Q4
20160919,19,09,2016,Q3
20160509,09,05,2016,Q2
20161212,12,12,2016,Q4
20160201,01,02,2016,Q1
20160425,25,04,2016,Q2
20160606,06,06,2016,Q2
20160718,18,07,2016,Q3
