country_ioc,continent,language
RUS,Europe,ru
FRA,Europe,fr
AUS,Oceania,en
CAN,America,en
BUL,Europe,bg
GBR,Europe,en
SRB,Europe,sr
USA,America,en
ARG,America,es
SLO,Europe,sl
GER,Europe,de
LAT,Europe,lv
CZE,Europe,cs
EST,Europe,et
ESP,Europe,es
UKR,Europe,uk
ROU,Europe,ro
KAZ,Asia,kk
NED,Europe,nl
BEL,Europe,nl
CRO,Europe,hr
SVK,Europe,sk
BLR,Europe,be
CHI,America,es
SUI,Europe,de
POL,Europe,pl
LUX,Europe,lb
ITA,Europe,it
GEO,Asia,ka
HUN,Europe,hu
LTU,Europe,lt
BIH,Europe,bs
QAT,Asia,ar
TUR,Asia,tr
AUT,Europe,de
CYP,Europe,el
RSA,Africa,zu
TUN,Africa,ar
IND,Asia,en
KOR,Asia,ko
UZB,Asia,uz
MDA,Europe,ro
BRA,America,pt
POR,Europe,pt
TPE,Asia,zh
ESA,America,es
NZL,Oceania,en
URU,America,es
GRE,Europe,el
PUR,America,en
CHN,Asia,zh
THA,Asia,th
SWE,Europe,sv
DEN,Europe,da
COL,America,es
DOM,America,es
NOR,Europe,no
EGY,Africa,ar
BAR,America,en
LIE,Europe,de
PAR,America,es
MNE,Europe,sr
BOL,America,es
ECU,America,es
MEX,America,es
IRL,Europe,en
ISR,Asia,he
ALG,Africa,ar
MON,Europe,fr
FIN,Europe,fi
VEN,America,es
LIB,Africa,ar
GUA,America,es
PER,America,es
INA,Asia,id
PHI,Asia,tl
HKG,Asia,zh
MAR,Africa,ar
ZIM,Africa,en
PAK,Asia,ur
IRI,Asia,fa
SRI,Asia,si
MKD,Europe,mk
KGZ,Asia,ky
ARM,Asia,hy
PNG,Oceania,en
SIN,Asia,cm
BAH,America,en
TTO,America,en
GRN,Europe,en
TRI,America,en
CUB,America,es
CRC,America,es
OMA,Africa,ar
MAS,Asia,ms
PAN,America,es
CMR,Africa,en
MLT,Europe,mt
LBN,Asia,ar
BDI,Africa,fr
NGR,Africa,en
MRI,Africa,en
GAB,Africa,fr
AZE,Asia,az
BRN,Asia,ms
SAM,Oceania,sm
JAM,America,en
KEN,Africa,en
GHA,Africa,en
MGL,Asia,mn
JOR,Asia,ar
GUD,America,fr
NAM,Africa,en
REU,Africa,fr
MAD,Africa,fr
MRN,Africa,zu
VIE,Europe,vi
UNK,Europe,en
SYR,Asia,ar
SGP,Asia,cm
UAE,Asia,ar
AHO,America,nl
BEN,Africa,fr
HAI,America,ht
ERI,Africa,aa
ITF,Europe,it
COD,Africa,fr
LBA,Africa,ar
HON,America,es
TKM,Asia,tk
TJK,Asia,tg
POC,Asia,en
BER,America,en
AND,Europe,ca
SMR,Europe,it
PHL,Asia,tl
ANT,America,nl
TOG,Africa,fr
GUM,Oceania,en
VIN,America,en
BOT,Africa,en
CAM,Asia,km
ZAM,Africa,en
KUW,Asia,ar
DEU,Europe,de
SAU,Asia,ar
NGA,Africa,en
BGR,Europe,bg
NLD,Europe,nl
LVA,Europe,lv
GRC,Europe,el
CRI,America,es
BAN,Asia,bn
JPN,Asia,ja
