player_id,old_player_id,country_id,name,hand,ht,age,tourney_date,tourney_id
1,105453,JPN,Kei Nishikori,R,178,29.0047912389,20181231,1
2,106421,RUS,Daniil Medvedev,R,198,22.8856947296,20181231,1
3,104542,FRA,Jo-Wilfried Tsonga,R,188,33.7056810404,20181231,1
4,104871,FRA,Jeremy Chardy,R,188,31.8822724162,20181231,1
5,200282,AUS,Alex De Minaur,R,183,19.8685831622,20181231,1
6,105683,CAN,Milos Raonic,R,196,28.0109514031,20181231,1
7,106034,JPN,Yasutaka Uchiyama,R,-1,26.4038329911,20181231,1
8,105777,BUL,Grigor Dimitrov,R,188,27.627652293,20181231,1
9,106121,JPN,Taro Daniel,R,-1,25.9247091034,20181231,1
10,111442,AUS,Jordan Thompson,R,183,24.6981519507,20181231,1
11,104918,GBR,Andy Murray,R,190,31.6303901437,20181231,1
12,200175,SRB,Miomir Kecmanovic,R,183,19.3347022587,20181231,1
13,106401,AUS,Nick Kyrgios,R,193,23.6796714579,20181231,1
14,106378,GBR,Kyle Edmund,R,188,23.9780971937,20181231,1
15,105357,AUS,John Millman,R,183,29.5468856947,20181231,1
16,106045,USA,Denis Kudla,R,180,26.3709787817,20181231,1
17,106423,AUS,Thanasi Kokkinakis,R,-1,22.7241615332,20181231,1
18,106109,AUS,Alex Bolt,L,-1,25.9849418207,20181231,1
19,200615,AUS,Alexei Popyrin,R,196,19.4058863792,20181231,1
20,105902,AUS,James Duckworth,R,183,26.9431895962,20181231,1
21,104919,ARG,Leonardo Mayer,R,188,31.6303901437,20181231,1
22,105379,SLO,Aljaz Bedene,R,181,29.453798768,20181231,1
23,105992,USA,Ryan Harrison,R,183,26.6502395619,20181231,1
24,105526,GER,Jan Lennard Struff,R,193,28.6844626968,20181231,1
25,200005,FRA,Ugo Humbert,L,188,20.514715948,20181231,1
26,106415,JPN,Yoshihito Nishioka,L,170,23.2607802875,20181231,1
27,105815,USA,Tennys Sandgren,R,188,27.4442162902,20181231,1
28,126203,USA,Taylor Fritz,R,193,21.1745379877,20181231,1
29,215018,AUS,Destanee Aiava,R,-1,18.6420260096,20181231,2
30,201540,FRA,Kristina Mladenovic,R,184,25.6317590691,20181231,2
31,211279,GBR,Harriet Dart,R,-1,22.4257357974,20181231,2
32,211880,AUS,Priscilla Hon,R,-1,20.643394935,20181231,2
33,201545,LAT,Anastasija Sevastova,R,169,28.7173169062,20181231,2
34,201611,AUS,Daria Gavrilova,R,166,24.8240930869,20181231,2
35,201520,CZE,Petra Kvitova,L,183,28.8158795346,20181231,2
36,203389,USA,Danielle Rose Collins,R,178,25.0485968515,20181231,2
37,204426,EST,Anett Kontaveit,R,174,23.0198494182,20181231,2
38,201521,ESP,Carla Suarez Navarro,R,162,30.3244353183,20181231,2
39,201615,UKR,Lesia Tsurenko,R,174,29.5879534565,20181231,2
40,202596,ROU,Mihaela Buzarnescu,L,-1,30.6584531143,20181231,2
41,214040,AUS,Kimberly Birrell,U,-1,20.6735112936,20181231,2
42,214082,RUS,Darya Kasatkina,R,170,21.6509240246,20181231,2
43,201662,CZE,Karolina Pliskova,R,184,26.7789185489,20181231,2
44,201709,KAZ,Yulia Putintseva,R,163,23.9808350445,20181231,2
