player_id,old_player_id,country_id,name,sex,hand,ht,byear_of_birth
1,105453,JPN,Kei Nishikori,M,R,178,1989
2,106421,RUS,Daniil Medvedev,M,R,198,1996
3,104542,FRA,Jo-Wilfried Tsonga,M,R,188,1985
4,104871,FRA,Jeremy Chardy,M,R,188,1987
5,200282,AUS,Alex De Minaur,M,R,183,1999
6,105683,CAN,Milos Raonic,M,R,196,1990
7,106034,JPN,Yasutaka Uchiyama,M,R,183,1992
8,105777,BUL,Grigor Dimitrov,M,R,191,1991
9,106121,JPN,Taro Daniel,M,R,191,1993
10,111442,AUS,Jordan Thompson,M,R,183,1994
11,104918,GBR,Andy Murray,M,R,190,1987
12,200175,SRB,Miomir Kecmanovic,M,R,183,1999
13,106401,AUS,Nick Kyrgios,M,R,193,1995
14,106378,GBR,Kyle Edmund,M,R,188,1995
15,105357,AUS,John Millman,M,R,183,1989
16,106045,USA,Denis Kudla,M,R,180,1992
17,106423,AUS,Thanasi Kokkinakis,M,R,193,1996
18,106109,AUS,Alex Bolt,M,L,183,1993
19,200615,AUS,Alexei Popyrin,M,R,196,1999
20,105902,AUS,James Duckworth,M,R,183,1992
21,104919,ARG,Leonardo Mayer,M,R,191,1987
22,105379,SLO,Aljaz Bedene,M,R,183,1989
23,105992,USA,Ryan Harrison,M,R,185,1992
24,105526,GER,Jan Lennard Struff,M,R,193,1990
25,200005,FRA,Ugo Humbert,M,L,188,1998
26,106415,JPN,Yoshihito Nishioka,M,L,170,1995
27,105815,USA,Tennys Sandgren,M,R,188,1991
28,126203,USA,Taylor Fritz,M,R,193,1997
29,215018,AUS,Destanee Aiava,F,R,175,2000
30,201540,FRA,Kristina Mladenovic,F,R,184,1993
31,211279,GBR,Harriet Dart,F,R,172,1996
32,211880,AUS,Priscilla Hon,F,R,171,1998
33,201545,LAT,Anastasija Sevastova,F,R,169,1990
34,201611,AUS,Daria Gavrilova,F,R,166,1994
35,201520,CZE,Petra Kvitova,F,L,183,1990
36,203389,USA,Danielle Rose Collins,M,R,193,1986
37,204426,EST,Anett Kontaveit,F,R,174,1995
38,201521,ESP,Carla Suarez Navarro,F,R,162,1988
39,201615,UKR,Lesia Tsurenko,M,R,193,1986
40,202596,ROU,Mihaela Buzarnescu,F,L,175,1988
41,214040,AUS,Kimberly Birrell,F,R,170,1998
42,214082,RUS,Darya Kasatkina,F,R,170,1997
43,201662,CZE,Karolina Pliskova,F,R,186,1992
44,201709,KAZ,Yulia Putintseva,F,R,163,1995
45,213631,CZE,Marie Bouzkova,F,R,180,1998
46,201325,AUS,Samantha Stosur,F,R,172,1984
47,201548,AUS,Ajla Tomljanovic,F,R,180,1993
48,211701,CZE,Katerina Siniakova,F,R,174,1996
49,202427,GBR,Johanna Konta,F,R,180,1991
50,201585,USA,Sloane Stephens,F,R,170,1993
51,202428,NED,Kiki Bertens,F,R,182,1991
52,210722,BEL,Elise Mertens,F,R,179,1995
53,202499,CRO,Donna Vekic,F,R,179,1996
54,201517,SVK,Magdalena Rybarikova,F,R,180,1988
