tourney_id,old_tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
1,2019-M020,20181231,Brisbane,Hard,32,A,3928,742618.69
2,2019-M020,20181231,Brisbane,Hard,32,P,3928,742618.69
3,2019-0451,20181231,Doha,Hard,32,A,2923,550943.19
4,2019-0891,20181231,Pune,Hard,32,A,4062,1005592.39
5,2019-0301,20190107,Auckland,Hard,32,A,2784,489426.09
6,2019-M001,20190107,Sydney,Hard,32,A,3258,567644.24
7,2019-M001,20190107,Sydney,Hard,32,P,3258,567644.24
8,2019-580,20190114,Australian Open,Hard,128,G,15583,2781000.18
9,2019-9158,20190204,Cordoba,Clay,32,A,3768,579745.3
10,2019-0375,20190204,Montpellier,Hard,32,A,4656,894200.18
11,2019-7434,20190204,Sofia,Hard,32,A,4409,924807.77
12,2019-0506,20190211,Buenos Aires,Clay,32,A,3419,715417.26
13,2019-0424,20190211,New York,Hard,32,A,3308,645211.09
14,2019-0407,20190211,Rotterdam,Hard,32,A,3305,696724.19
15,2019-0499,20190218,Delray Beach,Hard,32,A,3058,607459.69
16,2019-0496,20190218,Marseille,Hard,32,A,3699,902932.55
17,2019-6932,20190218,Rio de Janeiro,Clay,32,A,2392,529903.18
18,2019-M004,20190225,Acapulco,Hard,32,A,3398,655207.08
19,2019-M004,20190225,Acapulco,Hard,32,I,3398,655207.08
20,2019-0495,20190225,Dubai,Hard,32,A,2559,548939.11
21,2019-0533,20190225,Sao Paulo,Clay,32,A,2974,539517.41
22,2019-M006,20190304,Indian Wells Masters,Hard,128,M,9552,2484975.25
23,2019-M006,20190304,Indian Wells,Hard,128,PM,9552,2484975.25
24,2019-M007,20190318,Miami Masters,Hard,128,M,15751,1758612.85
25,2019-M007,20190318,Miami,Hard,128,PM,15751,1758612.85
26,2019-0717,20190408,Houston,Clay,32,A,4027,692693.85
27,2019-0360,20190408,Marrakech,Clay,32,A,2657,496815.47
28,2019-0410,20190415,Monte Carlo Masters,Clay,64,M,5172,1598960.12
29,2019-0425,20190422,Barcelona,Clay,64,A,8062,1627641.8
30,2019-7648,20190422,Budapest,Clay,32,A,2857,471165.25
31,2019-7290,20190429,Estoril,Clay,32,A,3670,793863.05
32,2019-0308,20190429,Munich,Clay,32,A,3053,691352.85
33,2019-M021,20190506,Madrid Masters,Clay,64,M,7075,1713855.57
34,2019-M021,20190506,Madrid,Clay,64,PM,7075,1713855.57
35,2019-M009,20190513,Rome Masters,Clay,64,M,7672,1673097.12
36,2019-M009,20190513,Rome,Clay,64,P,7672,1673097.12
37,2019-0322,20190520,Geneva,Clay,32,A,2531,616606.53
38,2019-7694,20190520,Lyon,Clay,32,A,4132,915008.72
39,2019-520,20190527,Roland Garros,Clay,128,G,14419,1888254.93
40,2019-M010,20190610,s Hertogenbosch,Grass,32,A,2462,487848.44
41,2019-M010,20190610,S-Hertogenbosch,Grass,32,I,2462,487848.44
42,2019-0321,20190610,Stuttgart,Grass,32,A,3880,716385.4
43,2019-0500,20190617,Halle,Grass,32,A,2102,389978.71
44,2019-0311,20190617,Queen's Club,Grass,32,A,2768,592602.65
45,2019-7650,20190624,Antalya,Grass,32,A,3138,639718.34
46,2019-M016,20190624,Eastbourne,Grass,32,A,4516,868154.79
47,2019-M016,20190624,Eastbourne,Grass,64,P,4516,868154.79
48,2019-540,20190701,Wimbledon,Grass,128,G,8964,1498510.45
49,2019-0316,20190715,Bastad,Clay,32,A,2119,419886.23
50,2019-0315,20190715,Newport,Grass,32,A,2909,625805.78
51,2019-0439,20190715,Umag,Clay,32,A,2651,459557.6
52,2019-6116,20190722,Atlanta,Hard,32,A,3669,852063.31
53,2019-0314,20190722,Gstaad,Clay,32,A,1459,260087.95
54,2019-0414,20190722,Hamburg,Clay,32,A,3870,831701.11
55,2019-0319,20190729,Kitzbuhel,Clay,32,A,3611,624969.91
56,2019-7480,20190729,Los Cabos,Hard,32,A,2978,510534.39
57,2019-M035,20190729,Washington,Hard,64,A,6392,1337233.1
58,2019-M035,20190729,Washington,Hard,32,I,6392,1337233.1
59,2019-0421,20190805,Canada Masters,Hard,64,M,8154,1716294.21
60,2019-M024,20190812,Cincinnati Masters,Hard,64,M,7759,1692353.55
61,2019-M024,20190812,Cincinnati,Hard,64,P,7759,1692353.55
62,2019-6242,20190819,Winston-Salem,Hard,64,A,8105,1063952.13
63,2019-560,20190826,US Open,Hard,128,G,17634,4672240.98
64,2019-560,20190826,Us Open,Hard,128,G,17634,4672240.98
65,2019-0341,20190916,Metz,Hard,32,A,4106,760068.61
66,2019-0568,20190916,St. Petersburg,Hard,32,A,3677,786799.61
67,2019-7581,20190923,Chengdu,Hard,32,A,3014,675918.4
68,2019-9164,20190923,Zhuhai,Hard,32,A,3800,911940.46
69,2019-M015,20190930,Beijing,Hard,32,A,8346,1125679.32
70,2019-M015,20190930,Beijing,Hard,64,PM,8346,1125679.32
71,2019-0329,20190930,Tokyo,Hard,32,A,2074,370565.03
72,2019-5014,20191007,Shanghai Masters,Hard,64,M,7091,1673300.47
73,2019-7485,20191014,Antwerp,Hard,32,A,3312,742679.43
74,2019-M014,20191014,Moscow,Hard,32,A,2923,593396.26
75,2019-M014,20191014,Moscow,Hard,32,I,2923,593396.26
76,2019-0429,20191014,Stockholm,Hard,32,A,3701,736769.9
77,2019-0328,20191021,Basel,Hard,32,A,2733,644586.24
78,2019-0337,20191021,Vienna,Hard,32,A,3267,691345.81
79,2019-0352,20191028,Paris Masters,Hard,64,M,5122,1180956.19
80,2019-0605,20191111,Tour Finals,Hard,8,F,640,129706.65
81,2019-M-DC-2019-FLS-A-M-FRA-JPN-01,20191119,Davis Cup Finals RR: FRA vs JPN,Hard,4,D,382,78384.44
82,2019-M-DC-2019-FLS-A-M-FRA-SRB-01,20191121,Davis Cup Finals RR: FRA vs SRB,Hard,4,D,422,79002.6
83,2019-M-DC-2019-FLS-A-M-SRB-JPN-01,20191120,Davis Cup Finals RR: SRB vs JPN,Hard,4,D,347,71870.46
84,2019-M-DC-2019-FLS-B-M-CRO-ESP-01,20191120,Davis Cup Finals RR: CRO vs ESP,Hard,4,D,349,69606.6
85,2019-M-DC-2019-FLS-B-M-CRO-RUS-01,20191118,Davis Cup Finals RR: CRO vs RUS,Hard,4,D,303,60666.93
86,2019-M-DC-2019-FLS-B-M-ESP-RUS-01,20191119,Davis Cup Finals RR: ESP vs RUS,Hard,4,D,216,42617.03
87,2019-M-DC-2019-FLS-C-M-ARG-CHI-01,20191119,Davis Cup Finals RR: ARG vs CHI,Hard,4,D,424,81710.8
88,2019-M-DC-2019-FLS-C-M-ARG-GER-01,20191120,Davis Cup Finals RR: ARG vs GER,Hard,4,D,406,78649.09
89,2019-M-DC-2019-FLS-C-M-GER-CHI-01,20191121,Davis Cup Finals RR: GER vs CHI,Hard,4,D,487,89693.55
90,2019-M-DC-2019-FLS-D-M-AUS-COL-01,20191119,Davis Cup Finals RR: AUS vs COL,Hard,4,D,322,67110.03
91,2019-M-DC-2019-FLS-D-M-BEL-AUS-01,20191120,Davis Cup Finals RR: BEL vs AUS,Hard,4,D,442,91331.93
92,2019-M-DC-2019-FLS-D-M-BEL-COL-01,20191118,Davis Cup Finals RR: BEL vs COL,Hard,4,D,482,90783.1
93,2019-M-DC-2019-FLS-E-M-GBR-KAZ-01,20191121,Davis Cup Finals RR: GBR vs KAZ,Hard,4,D,376,81737.7
94,2019-M-DC-2019-FLS-E-M-GBR-NED-01,20191120,Davis Cup Finals RR: GBR vs NED,Hard,4,D,325,65458.13
95,2019-M-DC-2019-FLS-E-M-KAZ-NED-01,20191119,Davis Cup Finals RR: KAZ vs NED,Hard,4,D,506,99118.62
96,2019-M-DC-2019-FLS-F-M-ITA-CAN-01,20191118,Davis Cup Finals RR: ITA vs CAN,Hard,4,D,354,68381.35
97,2019-M-DC-2019-FLS-F-M-USA-CAN-01,20191119,Davis Cup Finals RR: USA vs CAN,Hard,4,D,378,79630.12
98,2019-M-DC-2019-FLS-F-M-USA-ITA-01,20191120,Davis Cup Finals RR: USA vs ITA,Hard,4,D,386,83211.54
99,2019-M-DC-2019-FLS-M-ARG-ESP-01,20191122,Davis Cup Finals QF: ARG vs ESP,Hard,4,D,320,64523.12
100,2019-M-DC-2019-FLS-M-AUS-CAN-01,20191121,Davis Cup Finals QF: AUS vs CAN,Hard,4,D,479,90324.59
101,2019-M-DC-2019-FLS-M-CAN-ESP-01,20191124,Davis Cup Finals F: CAN vs ESP,Hard,4,D,386,78480.44
102,2019-M-DC-2019-FLS-M-GBR-ESP-01,20191123,Davis Cup Finals SF: GBR vs ESP,Hard,4,D,448,85983.72
103,2019-M-DC-2019-FLS-M-GBR-GER-01,20191122,Davis Cup Finals QF: GBR vs GER,Hard,4,D,366,70949.87
104,2019-M-DC-2019-FLS-M-RUS-CAN-01,20191123,Davis Cup Finals SF: RUS vs CAN,Hard,4,D,299,62005.99
105,2019-M-DC-2019-FLS-M-SRB-RUS-01,20191122,Davis Cup Finals QF: SRB vs RUS,Hard,4,D,292,57149.75
106,2019-M-DC-2019-G1-AM-M-BRA-BAR-01,20190913,Davis Cup G1 R1: BRA vs BAR,Clay,4,D,411,84236.84
107,2019-M-DC-2019-G1-AM-M-DOM-URU-01,20190914,Davis Cup G1 R1: DOM vs URU,Clay,4,D,364,74967.86
108,2019-M-DC-2019-G1-AM-M-ECU-VEN-01,20190914,Davis Cup G1 R1: ECU vs VEN,Hard,4,D,471,91677.72
109,2019-M-DC-2019-G1-AO-M-CHN-KOR-01,20190914,Davis Cup G1 R1: CHN vs KOR,Hard,4,D,329,68153.35
110,2019-M-DC-2019-G1-AO-M-UZB-LBN-01,20190913,Davis Cup G1 R1: UZB vs LBN,Clay,4,D,356,77671.89
111,2019-M-DC-2019-G1-EPA-M-AUT-FIN-01,20190913,Davis Cup G1 R1: AUT vs FIN,Hard,4,D,348,70864.71
112,2019-M-DC-2019-G1-EPA-M-CZE-BIH-01,20190914,Davis Cup G1 R1: CZE vs BIH,Hard,4,D,288,57908.78
113,2019-M-DC-2019-G1-EPA-M-HUN-UKR-01,20190914,Davis Cup G1 R1: HUN vs UKR,Clay,4,D,329,67571.0
114,2019-M-DC-2019-G1-EPA-M-POR-BLR-01,20190913,Davis Cup G1 R1: POR vs BLR,Hard,4,D,456,88676.63
115,2019-M-DC-2019-G1-EPA-M-SUI-SVK-01,20190913,Davis Cup G1 R1: SUI vs SVK,Clay,4,D,368,72817.6
116,2019-M-DC-2019-G1-EPA-M-SWE-ISR-01,20190913,Davis Cup G1 R1: SWE vs ISR,Hard,4,D,384,71292.51
117,2019-M-DC-2019-G2-AM-M-GUA-BOL-01,20190913,Davis Cup G2 R1: GUA vs BOL,Hard,4,D,364,75349.09
118,2019-M-DC-2019-G2-AM-M-MEX-PAR-01,20190914,Davis Cup G2 R1: MEX vs PAR,Clay,4,D,486,100842.51
119,2019-M-DC-2019-G2-AM-M-PER-ESA-01,20190405,Davis Cup G2 R1: PER vs ESA,Hard,4,D,429,89836.34
120,2019-M-DC-2019-G2-AO-M-NZL-INA-01,20190914,Davis Cup G2 R1: NZL vs INA,Hard,4,D,422,76121.74
121,2019-M-DC-2019-G2-AO-M-THA-PHI-01,20190405,Davis Cup G2 R1: THA vs PHI,Hard,4,D,486,95877.49
122,2019-M-DC-2019-G2-AO-M-TPE-HKG-01,20190914,Davis Cup G2 R1: TPE vs HKG,Hard,4,D,358,69340.43
123,2019-M-DC-2019-G2-EPA-M-DEN-TUR-01,20190913,Davis Cup G2 R1: DEN vs TUR,Hard,4,D,389,85740.4
124,2019-M-DC-2019-G2-EPA-M-EGY-SLO-01,20190913,Davis Cup G2 R1: EGY vs SLO,Clay,4,D,474,96349.95
125,2019-M-DC-2019-G2-EPA-M-LTU-MAR-01,20190405,Davis Cup G2 R1: LTU vs MAR,Clay,4,D,354,71981.23
126,2019-M-DC-2019-G2-EPA-M-NOR-GEO-01,20190913,Davis Cup G2 R1: NOR vs GEO,Clay,4,D,422,83267.84
127,2019-M-DC-2019-G2-EPA-M-ROU-ZIM-01,20190405,Davis Cup G2 R1: ROU vs ZIM,Hard,4,D,426,87724.77
128,2019-M-DC-2019-G2-EPA-M-RSA-BUL-01,20190913,Davis Cup G2 R1: RSA vs BUL,Hard,4,D,355,71841.11
129,2019-M-DC-2019-QLS-M-AUS-BIH-01,20190201,Davis Cup QLS R1: AUS vs BIH,Hard,4,D,445,87134.42
130,2019-M-DC-2019-QLS-M-AUT-CHI-01,20190201,Davis Cup QLS R1: AUT vs CHI,Clay,4,D,419,87638.79
131,2019-M-DC-2019-QLS-M-BEL-BRA-01,20190201,Davis Cup QLS R1: BEL vs BRA,Clay,4,D,354,71781.54
132,2019-M-DC-2019-QLS-M-CAN-SVK-01,20190201,Davis Cup QLS R1: CAN vs SVK,Clay,4,D,459,96987.09
133,2019-M-DC-2019-QLS-M-CZE-NED-01,20190201,Davis Cup QLS R1: CZE vs NED,Hard,4,D,329,68822.6
134,2019-M-DC-2019-QLS-M-GER-HUN-01,20190201,Davis Cup QLS R1: GER vs HUN,Hard,4,D,297,64634.41
135,2019-M-DC-2019-QLS-M-ITA-IND-01,20190201,Davis Cup QLS R1: ITA vs IND,Grass,4,D,368,69642.88
136,2019-M-DC-2019-QLS-M-JPN-CHN-01,20190201,Davis Cup QLS R1: JPN vs CHN,Hard,4,D,475,98630.78
137,2019-M-DC-2019-QLS-M-KAZ-POR-01,20190201,Davis Cup QLS R1: KAZ vs POR,Hard,4,D,474,96233.49
138,2019-M-DC-2019-QLS-M-SRB-UZB-01,20190201,Davis Cup QLS R1: SRB vs UZB,Hard,4,D,399,78737.18
139,2019-M-DC-2019-QLS-M-SUI-RUS-01,20190201,Davis Cup QLS R1: SUI vs RUS,Hard,4,D,483,95051.95
140,2019-M-DC-2019-QLS-M-SWE-COL-01,20190201,Davis Cup QLS R1: SWE vs COL,Clay,4,D,446,85703.78
141,2018-M020,20180101,Brisbane,Hard,32,A,4154,741338.74
142,2018-M020,20180101,Brisbane,Hard,32,P,4154,741338.74
143,2018-0451,20180101,Doha,Hard,32,A,4012,693514.18
144,2018-0891,20180101,Pune,Hard,32,A,2433,454876.95
145,2018-0301,20180108,Auckland,Hard,32,A,2933,697395.19
146,2018-M001,20180108,Sydney,Hard,32,A,3123,635311.29
147,2018-M001,20180108,Sydney,Hard,32,P,3123,635311.29
148,2018-580,20180115,Australian Open,Hard,128,G,7195,1316125.97
149,2018-M-DC-2018-G1-EPA-M-AUT-BLR-01,20180202,Davis Cup G1 R1: AUT vs BLR,Clay,4,D,462,99623.08
150,2018-M-DC-2018-G1-AM-M-CHI-ECU-01,20180202,Davis Cup G1 R1: CHI vs ECU,Clay,4,D,356,70575.12
151,2018-M-DC-2018-G1-AO-M-CHN-NZL-01,20180202,Davis Cup G1 R1: CHN vs NZL,Hard,4,D,444,86571.21
152,2018-M-DC-2018-G1-AM-M-COL-BAR-01,20180202,Davis Cup G1 R1: COL vs BAR,Hard,4,D,461,92112.89
153,2018-M-DC-2018-G1-AM-M-DOM-BRA-01,20180202,Davis Cup G1 R1: DOM vs BRA,Hard,4,D,375,75490.36
154,2018-M-DC-2018-G1-AO-M-KOR-PAK-01,20180202,Davis Cup G1 R1: KOR vs PAK,Grass,4,D,546,109884.53
155,2018-M-DC-2018-G1-EPA-M-RSA-ISR-01,20180202,Davis Cup G1 R1: RSA vs ISR,Hard,4,D,313,61000.56
156,2018-M-DC-2018-G1-EPA-M-UKR-SWE-01,20180202,Davis Cup G1 R1: UKR vs SWE,Hard,4,D,344,73249.04
157,2018-M-DC-2018-WG-M-AUS-GER-01,20180202,Davis Cup WG R1: AUS vs GER,Hard,4,D,315,66409.35
158,2018-M-DC-2018-WG-M-CAN-CRO-01,20180202,Davis Cup WG R1: CAN vs CRO,Clay,4,D,494,93561.13
159,2018-M-DC-2018-WG-M-FRA-NED-01,20180202,Davis Cup WG R1: FRA vs NED,Hard,4,D,320,59577.31
160,2018-M-DC-2018-WG-M-GBR-ESP-01,20180202,Davis Cup WG R1: GBR vs ESP,Clay,4,D,354,76858.8
161,2018-M-DC-2018-WG-M-HUN-BEL-01,20180202,Davis Cup WG R1: HUN vs BEL,Hard,4,D,438,80505.36
162,2018-M-DC-2018-WG-M-ITA-JPN-01,20180202,Davis Cup WG R1: ITA vs JPN,Hard,4,D,375,72885.67
163,2018-M-DC-2018-WG-M-KAZ-SUI-01,20180202,Davis Cup WG R1: KAZ vs SUI,Hard,4,D,455,94523.61
164,2018-M-DC-2018-WG-M-USA-SRB-01,20180202,Davis Cup WG R1: USA vs SRB,Clay,4,D,428,87154.08
165,2018-M-DC-2018-G2-AM-M-BOL-PER-01,20180203,Davis Cup G2 R1: BOL vs PER,Clay,4,D,463,97819.54
166,2018-M-DC-2018-G2-EPA-M-EGY-NOR-01,20180203,Davis Cup G2 R1: EGY vs NOR,Hard,4,D,323,63376.6
167,2018-M-DC-2018-G2-AM-M-ESA-URU-01,20180203,Davis Cup G2 R1: ESA vs URU,Hard,4,D,345,72760.7
168,2018-M-DC-2018-G2-EPA-M-EST-LTU-01,20180203,Davis Cup G2 R1: EST vs LTU,Hard,4,D,390,82304.24
169,2018-M-DC-2018-G2-EPA-M-GEO-MAR-01,20180203,Davis Cup G2 R1: GEO vs MAR,Clay,4,D,397,73671.0
170,2018-M-DC-2018-G2-AO-M-IRI-HKG-01,20180203,Davis Cup G2 R1: IRI vs HKG,Hard,4,D,450,86745.76
171,2018-M-DC-2018-G2-EPA-M-IRL-DEN-01,20180203,Davis Cup G2 R1: IRL vs DEN,Hard,4,D,484,92265.8
172,2018-M-DC-2018-G2-AO-M-LBN-TPE-01,20180203,Davis Cup G2 R1: LBN vs TPE,Hard,4,D,495,95203.34
173,2018-M-DC-2018-G2-AO-M-PHI-INA-01,20180203,Davis Cup G2 R1: PHI vs INA,Hard,4,D,261,51323.97
174,2018-M-DC-2018-G2-AM-M-PUR-MEX-01,20180203,Davis Cup G2 R1: PUR vs MEX,Hard,4,D,479,90802.28
175,2018-M-DC-2018-G2-EPA-M-ROU-LUX-01,20180203,Davis Cup G2 R1: ROU vs LUX,Hard,4,D,501,102505.08
176,2018-M-DC-2018-G2-EPA-M-SLO-POL-01,20180203,Davis Cup G2 R1: SLO vs POL,Hard,4,D,491,109576.87
177,2018-M-DC-2018-G2-AO-M-THA-SRI-01,20180203,Davis Cup G2 R1: THA vs SRI,Clay,4,D,234,46624.62
178,2018-M-DC-2018-G2-EPA-M-TUN-FIN-01,20180203,Davis Cup G2 R1: TUN vs FIN,Hard,4,D,532,103687.35
179,2018-M-DC-2018-G2-EPA-M-TUR-ZIM-01,20180203,Davis Cup G2 R1: TUR vs ZIM,Hard,4,D,373,69994.6
