year,tourney_name,spectators
2016,Sharm El Sheikh $10K,122414
2016,Antalya $10K,114938
2016,Hammamet $10K,104578
2016,Heraklion $10K,33040
2016,Santa Margherita Di Pula $10K,29351
2016,Bol $10K,20558
2016,Cairo $10K,18295
2016,Shymkent $10K,18147
2016,Indian Wells Masters,18086
2016,Indian Wells,18086
2016,Hua Hin $10K,16864
2016,Washington,14022
2016,Australian Open,13004
2016,Galati $10K,12888
2016,Madrid $10K,11878
2016,Casablanca $10K,11807
2016,Miami,11801
2016,Miami Masters,11801
2016,Tel Aviv Ramat Gan $10K,11524
2016,Bangkok CH,10783
2016,Stellenbosch $10K,10618
2016,Roland Garros,10241
2016,Doha,10187
2016,Minsk $25K,10077
2016,Wimbledon,9891
2016,Targu Jiu $10K,9828
2016,Anning $10K,9414
2016,Solarino $10K,9369
2016,US Open,9129
2016,Beijing,9096
2016,Moscow $10K,9072
2016,Paris Masters,8536
2016,Nottingham,8380
2016,Gimcheon $10K,8299
2016,Nanjing $10K,8071
2016,Las Palmas de Gran Canaria $10K,7813
2016,Istanbul,7730
2016,Rio de Janeiro,7654
2016,Canberra $25K,7592
2016,Chisinau $10K,7573
2016,Baku $10K,7529
2016,Wuhan,7499
2016,Prague CH,7445
2016,Yeongwol $10K,7283
2016,Hodmezovasarhely $25K,7257
2016,Sydney,7224
2016,Montreal,7173
2016,Kaohsiung $10K,7106
2016,Canberra CH,7095
2016,Buenos Aires CH,7090
2016,Stockholm $10K,7078
2016,Hua Hin $25K,7060
2016,Bucharest,7042
2016,Bastad,7008
2016,Astana $10K,6924
2016,Sao Jose Do Rio Preto $10K,6899
2016,Naples FL $25K,6855
2016,Columbus CH,6853
2016,Moscow $25K,6797
2016,Astana CH,6772
2016,Olympics,6657
2016,Rio Olympics,6657
2016,Dubai,6649
2016,Rome Masters,6619
2016,Rome,6619
2016,Barcelona,6617
2016,Bastad $10K,6586
2016,Eastbourne,6484
2016,Ponta Delgada Azores $10K,6288
2016,Prokuplje $10K,6276
2016,Sozopol $10K,6264
2016,Shenzhen,6256
2016,Pune $25K,6245
2016,Maribor $10K,6240
2016,St. Petersburg,6239
