loser_id,loser_name,nemesis_id,nemesis_name,n_match_lost
1,Kei Nishikori,100,Novak Djokovic,13
2,Daniil Medvedev,236,Alexander Zverev,5
2,Daniil Medvedev,100,Novak Djokovic,5
3,Jo-Wilfried Tsonga,6,Milos Raonic,4
4,Jeremy Chardy,107,Andrey Rublev,6
5,Alex De Minaur,203,Stefanos Tsitsipas,7
6,Milos Raonic,100,Novak Djokovic,7
6,Milos Raonic,11,Andy Murray,7
7,Yasutaka Uchiyama,386,Hiroki Moriya,4
7,Yasutaka Uchiyama,378,Ernesto Escobedo,4
8,Grigor Dimitrov,234,Rafael Nadal,7
9,Taro Daniel,239,Filip Krajinovic,3
9,Taro Daniel,114,Damir Dzumhur,3
9,Taro Daniel,101,Marco Cecchinato,3
9,Taro Daniel,516,Elias Ymer,3
9,Taro Daniel,145,Jaume Munar,3
10,Jordan Thompson,12,Miomir Kecmanovic,5
11,Andy Murray,100,Novak Djokovic,4
12,Miomir Kecmanovic,25,Ugo Humbert,3
12,Miomir Kecmanovic,98,Roberto Bautista Agut,3
12,Miomir Kecmanovic,123,Adrian Mannarino,3
12,Miomir Kecmanovic,172,Jason Jung,3
13,Nick Kyrgios,234,Rafael Nadal,5
14,Kyle Edmund,100,Novak Djokovic,6
15,John Millman,98,Roberto Bautista Agut,6
16,Denis Kudla,378,Ernesto Escobedo,4
16,Denis Kudla,190,Mackenzie McDonald,4
17,Thanasi Kokkinakis,2,Daniil Medvedev,3
17,Thanasi Kokkinakis,18,Alex Bolt,3
18,Alex Bolt,332,Jay Clarke,2
18,Alex Bolt,167,Felix Auger Aliassime,2
18,Alex Bolt,153,Michael Mmoh,2
18,Alex Bolt,114,Damir Dzumhur,2
18,Alex Bolt,404,Akira Santillan,2
18,Alex Bolt,172,Jason Jung,2
18,Alex Bolt,360,Soon Woo Kwon,2
18,Alex Bolt,26,Yoshihito Nishioka,2
18,Alex Bolt,223,Jason Kubler,2
18,Alex Bolt,379,Blaz Rola,2
18,Alex Bolt,381,Mohamed Safwat,2
19,Alexei Popyrin,15,John Millman,4
20,James Duckworth,370,Go Soeda,2
20,James Duckworth,11,Andy Murray,2
20,James Duckworth,23,Ryan Harrison,2
20,James Duckworth,333,Yuichi Sugita,2
20,James Duckworth,167,Felix Auger Aliassime,2
20,James Duckworth,164,Prajnesh Gunneswaran,2
20,James Duckworth,404,Akira Santillan,2
20,James Duckworth,118,Karen Khachanov,2
21,Leonardo Mayer,234,Rafael Nadal,3
22,Aljaz Bedene,6,Milos Raonic,5
23,Ryan Harrison,237,Marin Cilic,5
24,Jan Lennard Struff,100,Novak Djokovic,6
25,Ugo Humbert,12,Miomir Kecmanovic,3
26,Yoshihito Nishioka,253,Jack Sock,3
26,Yoshihito Nishioka,349,Alexander Bublik,3
26,Yoshihito Nishioka,202,Diego Schwartzman,3
26,Yoshihito Nishioka,13,Nick Kyrgios,3
27,Tennys Sandgren,100,Novak Djokovic,4
28,Taylor Fritz,98,Roberto Bautista Agut,5
29,Destanee Aiava,653,Rebecca Sramkova,3
30,Kristina Mladenovic,318,Petra Martic,6
30,Kristina Mladenovic,35,Petra Kvitova,6
31,Harriet Dart,44,Yulia Putintseva,3
31,Harriet Dart,293,Viktoria Kuzmova,3
32,Priscilla Hon,88,Lizette Cabrera,4
33,Anastasija Sevastova,321,Anastasia Pavlyuchenkova,5
33,Anastasija Sevastova,222,Simona Halep,5
34,Daria Gavrilova,58,Elina Svitolina,6
35,Petra Kvitova,221,Angelique Kerber,5
35,Petra Kvitova,219,Ashleigh Barty,5
36,Danielle Rose Collins,324,Sachia Vickery,3
